Corridor,Region Path,Location,Country/Region,Craft / Stewardship,Notes,Knowledge Archetype,Sensitivity,Founder Phase,Status,Steward Type,Indigenous Y/N,Ecological Y/N
East African Wood & Land Corridor,Kenya → Tanzania → Uganda,Wamunyu,Kenya,Akamba wood carving,Sub-cluster: East African Wood & Land Stewardship Corridor | Traditional wildlife sculpture craft | Wildlife and figurative sculpture traditions,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
East African Wood & Land Corridor,Kenya → Tanzania → Uganda,Zanzibar,Tanzania,Swahili carved doors,Sub-cluster: East African Wood & Land Stewardship Corridor | Historic coral-stone architecture carving | Coastal architectural carving traditions,Architecture & Building Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Caucasus Fermentation Corridor,France → Belgium → Switzerland,Paris,France,Chocolate Sculpture / Culinary Craft,Sub-cluster: European Culinary Craft Corridor | Culinary craft artistry | Master candidate: Patrick Roger,Food & Fermentation,Low,,Candidate,Craft Master,N,N
Moroccan Architectural Craft Corridor,Fes-Meknes,Fez,Morocco,Zellige Tile Making,Sub-cluster: Fes-Meknes Corridor | Architectural tradition | Hand-cut geometric tile art disappearing | Master candidate: TBD,Architecture & Building Craft,Medium,Founding 13,Candidate,Craft Master,N,N
North American Stewardship Corridor,British Columbia → Great Lakes → St. Lawrence → Atlantic Coast,Haudenosaunee / Anishinaabe territories,"Ontario, Canada",Black ash basketry,Sub-cluster: Great Lakes & Atlantic Craft Corridor | Forest stewardship and basketry under ecological pressure,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,Y
North American Stewardship Corridor,British Columbia → Great Lakes → St. Lawrence → Atlantic Coast,Mi’kma’ki,"Nova Scotia, Canada",Porcupine quillwork,Sub-cluster: Great Lakes & Atlantic Craft Corridor | Ancient adornment practice using natural materials,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,British Columbia → Great Lakes → St. Lawrence → Atlantic Coast,Mi’kmaq / island farms,"Prince Edward Island, Canada",Handcrafted eel trap making,Sub-cluster: Great Lakes & Atlantic Craft Corridor | Tidal and estuarine knowledge embodied in functional craft,Maritime & Watercraft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,British Columbia → Great Lakes → St. Lawrence → Atlantic Coast,Northwest Coast,"British Columbia, Canada",Bentwood box carving,Sub-cluster: Great Lakes & Atlantic Craft Corridor | Cedar-based design tradition with ceremonial significance,Material Craft,Medium,,Candidate,Craft Master,Y,N
North American Stewardship Corridor,British Columbia → Great Lakes → St. Lawrence → Atlantic Coast,Outports,"Newfoundland and Labrador, Canada",Hand-knit ganseys,Sub-cluster: Great Lakes & Atlantic Craft Corridor | Maritime knitwear knowledge shaped by climate and labor,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,British Columbia → Great Lakes → St. Lawrence → Atlantic Coast,Wendake,"Quebec, Canada",Huron-Wendat moosehair embroidery,"Sub-cluster: Great Lakes & Atlantic Craft Corridor | Rare, refined floral embroidery tradition",Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,British Columbia → Great Lakes → St. Lawrence → Atlantic Coast,Wolastoqey / Acadian regions,"New Brunswick, Canada",Birch bark craft,Sub-cluster: Great Lakes & Atlantic Craft Corridor | Forest-based making rooted in river cultures,Material Craft,Medium,,Candidate,Craft Master,N,Y
North American Stewardship Corridor,Montana → Wyoming → South Dakota → Nebraska,Bighorn Basin,"Wyoming, USA",Horse gear making,Sub-cluster: Great Plains Stewardship Corridor | Ranch saddle craft,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Montana → Wyoming → South Dakota → Nebraska,Black Hills,"South Dakota, USA",Lakota beadwork,Sub-cluster: Great Plains Stewardship Corridor | Indigenous bead art,Textile & Fiber Craft,Medium,,Candidate,Craft Master,Y,N
North American Stewardship Corridor,Montana → Wyoming → South Dakota → Nebraska,Bozeman,"Montana, USA",Bison stewardship,Sub-cluster: Great Plains Stewardship Corridor | Plains ecological restoration,Land Stewardship,Medium,,Candidate,Land Steward,N,Y
North American Stewardship Corridor,Montana → Wyoming → South Dakota → Nebraska,Cody,"Wyoming, USA",Saddle making,Sub-cluster: Great Plains Stewardship Corridor | Western leather craft,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Montana → Wyoming → South Dakota → Nebraska,Sandhills,"Nebraska, USA",Prairie land stewardship,Sub-cluster: Great Plains Stewardship Corridor | Grassland ecosystem management,Land Stewardship,Medium,,Candidate,Land Steward,N,Y
Horn of Africa Agriculture Corridor,Ethiopia Highlands → Harar → Sidamo,Harar,Ethiopia,Coffee roasting ceremonies,Sub-cluster: Horn of Africa Stone & Agriculture Corridor | Traditional ceremonial coffee preparation,Food & Fermentation,Medium,,Candidate,Craft Master,Y,N
Horn of Africa Agriculture Corridor,Ethiopia Highlands → Harar → Sidamo,Lalibela,Ethiopia,Stone carving and church architecture,Sub-cluster: Horn of Africa Stone & Agriculture Corridor | Rock-hewn church restoration knowledge,Architecture & Building Craft,Medium,,Candidate,Craft Master,N,N
Horn of Africa Agriculture Corridor,Ethiopia Highlands → Harar → Sidamo,Sidamo,Ethiopia,Coffee cultivation knowledge,Sub-cluster: Horn of Africa Stone & Agriculture Corridor | Smallholder coffee agroforestry traditions,Food & Fermentation,Medium,,Candidate,Craft Master,N,Y
Horn of Africa Agriculture Corridor,Ethiopia Highlands → Harar → Sidamo,Tigray Highlands,Ethiopia,Dry stone terrace agriculture,Sub-cluster: Horn of Africa Stone & Agriculture Corridor | Ancient erosion control and mountain farming,Land Stewardship,Medium,,Candidate,Land Steward,N,Y
Iberian Craft & Land Corridor,Portugal → Spain → Southern France,Alentejo,Portugal,Cork harvesting,Cork forest land stewardship | Sustainable cork forest stewardship,Land Stewardship,Medium,Founding 13,Candidate,Land Steward,N,Y
Iberian Craft & Land Corridor,,Atlas Mountains,Morocco,Berber agro-pastoral land stewardship,,Land Stewardship,Medium,,Candidate,Land Steward,Y,Y
Iberian Craft & Land Corridor,Portugal → Spain → Southern France,Basque Country,Spain / France,Knife forging,Traditional Basque metalwork,Material Craft,Medium,,Candidate,Craft Master,N,N
Iberian Craft & Land Corridor,,Carrara,Italy,Marble Carving,,Material Craft,Medium,,Candidate,Craft Master,N,N
Iberian Craft & Land Corridor,Portugal → Spain → Southern France,Douro Valley,Portugal,Vineyard stewardship,Mediterranean land knowledge + traditional crafts | Terraced viticulture and regenerative land traditions,Food & Fermentation,Medium,Founding 13,Candidate,Land Steward,N,Y
Iberian Craft & Land Corridor,Northern Portugal,Douro Valley,Portugal,Permaculture / Stewardship,Founding anchor | Terraced agriculture + regenerative land design | Master candidate: Greg,Land Stewardship,Medium,Founding 13,Candidate,Land Steward,N,Y
Iberian Craft & Land Corridor,Portugal → Spain → Southern France,Galicia Highlands,Spain,Chestnut agroforestry,Ancient forest-based food systems,Land Stewardship,Medium,Founding 13,Candidate,Land Steward,N,Y
Iberian Craft & Land Corridor,Portugal → Spain → Southern France,La Bisbal,Spain,Ceramics,Historic Catalan pottery center,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Iberian Craft & Land Corridor,Portugal → Spain → Basque Region,Porto,Portugal,Silversmithing,Traditional Italian jewelry craftsmanship,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Persian Craft & Garden Corridor,Isfahan Province,Isfahan,Iran,Persian Miniature Painting,Sub-cluster: Isfahan Province Corridor | Cultural art form | Rare classical painting schools surviving | Master candidate: TBD,Material Craft,Medium,,Candidate,Craft Master,N,N
Italian Master Craft Corridor,Florence → Carrara → Venice → Cremona,Carrara,Italy,Marble sculpture,Classical sculpture stone mastery,Material Craft,Medium,,Candidate,Craft Master,N,N
Italian Master Craft Corridor,Tuscany → Veneto → Lombardy,Carrara,Italy,Marble carving,Renaissance stone carving mastery,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Italian Master Craft Corridor,Florence → Carrara → Venice → Cremona,Cremona,Italy,Violin making,Stradivari instrument lineage,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Italian Master Craft Corridor,Tuscany → Veneto → Lombardy,Cremona,Italy,Violin Making (Lutherie),Stradivari lineage | Master candidate: Edgar Russ,Instrument & Music Craft,Low,Founding 13,Candidate,Craft Master,N,N
Italian Master Craft Corridor,Florence → Carrara → Venice → Cremona,Florence,Italy,Textile weaving,Renaissance artisan guild traditions,Textile & Fiber Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Italian Master Craft Corridor,Tuscany → Veneto → Lombardy,Murano,Italy,Glass Blowing,Global glass legend | Master candidate: Lino Tagliapietra | Legendary Venetian glass tradition,Material Craft,Low,Founding 13,Candidate,Craft Master,N,N
Italian Master Craft Corridor,Florence → Carrara → Venice → Cremona,Tuscany,Italy,Leather craft,Traditional Italian leatherwork,Material Craft,Medium,,Candidate,Craft Master,N,N
Italian Master Craft Corridor,Florence → Carrara → Venice → Cremona,Valenza,Italy,Goldsmithing,Traditional Italian jewelry craftsmanship,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Italian Master Craft Corridor,Florence → Carrara → Venice → Cremona,Venice / Murano,Italy,Glass blowing,Murano glass lineage,Material Craft,Medium,,Candidate,Craft Master,N,N
Japanese Master Craft Corridor,Kyoto → Nara → Kanazawa → Sado,Gifu,Japan,Sword forging,Katanasmith tradition | Katanasmith metallurgical tradition,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Japanese Master Craft Corridor,Kyoto → Kanazawa → Sado,Gifu,Japan,Traditional Swordsmithing,Few licensed swordsmiths remain | Master candidate: Yukihiro Okugawa,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Japanese Master Craft Corridor,Kyoto → Nara → Kanazawa → Sado,Kanazawa,Japan,Gold leaf,Traditional gilding craft,Material Craft,Medium,,Candidate,Craft Master,N,N
Japanese Master Craft Corridor,Kyoto → Kanazawa → Nara → Sado,Kanazawa,Japan,Gold leaf craft,Historic gilding traditions used in temples and art,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Japanese Master Craft Corridor,Kyoto → Nara → Kanazawa → Sado,Kyoto,Japan,Indigo dyeing,Aizome natural dye tradition,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
Japanese Master Craft Corridor,Kyoto → Nara → Kanazawa → Sado,Kyoto,Japan,Lacquer craft,Urushi lacquer tradition,Material Craft,Medium,,Candidate,Craft Master,N,N
Japanese Master Craft Corridor,Kyoto → Kanazawa → Sado,Kyoto,Japan,Urushi Lacquer Craft,Traditional Japanese lacquer lineage | Master candidate: Teruyuki Nakagawa,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Japanese Master Craft Corridor,Kyoto → Kanazawa → Sado,Kyoto,Japan,Storytelling,Philosophy of Mastery,Music & Storytelling,Medium,Founding 13,Candidate,Craft Master,N,N
Japanese Master Craft Corridor,Kyoto → Nara → Kanazawa → Sado,Nara,Japan,Temple carpentry,Traditional Japanese timber joinery,Architecture & Building Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Japanese Master Craft Corridor,Kyoto → Nara → Kanazawa → Sado,Sado Island,Japan,Satoyama stewardship,Traditional ecological land management | Rural ecological land stewardship systems,Land Stewardship,Medium,Founding 13,Candidate,Land Steward,N,Y
Japanese Master Craft Corridor,Kyoto → Tokyo → Kanazawa,Tokyo,Japan,Bonsai Cultivation,Japanese horticultural tradition | Master candidate: Kunio Kobayashi,Land Stewardship,Low,Founding 13,Candidate,Land Steward,N,N
Southeast Asian Dye & Woodcraft Corridor,Java,Yogyakarta,Indonesia,Batik Dyeing,Sub-cluster: Java Corridor | Recognized cultural heritage | Traditional wax-dye technique losing younger apprentices | Master candidate: TBD,Textile & Fiber Craft,Low,Founding 13,Candidate,Craft Master,N,N
Japanese Master Craft Corridor,Kansai,Kyoto,Japan,Photography / Philosophy of Mastery,Sub-cluster: Kansai Corridor | Contemporary but lineage-based | Analog darkroom knowledge disappearing globally | Master candidate: Foster Mickely,Material Craft,Low,Founding 13,Candidate,Craft Master,N,N
Japanese Master Craft Corridor,Kansai,Kyoto (rural),Japan,Indigo Dyeing (Aizome),Sub-cluster: Kansai Corridor | Key Japanese craft | Natural dye traditions fading in industrial era | Master candidate: TBD,Textile & Fiber Craft,Medium,Founding 13,Candidate,Craft Master,N,N
